,id,duration,service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,num_compromised,num_root,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,role,AttCat,attType
255,1023,1,private,RSTOS0,0,0,0,0,0,0,72,0.79,0.67,0.21,0.33,0.04,255,3,0.01,0.11,0.22,0.67,0.06,0.33,superuser,Probe,portsweep
261,1039,0,smtp,SF,6,123,0,1,0,0,8,0.0,0.0,0.38,0.0,0.12,115,166,0.51,0.1,0.0,0.01,0.03,0.0,superuser,Probe,satan
267,1057,10,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.48,0.0,0.0,0.47,1.0,technician,Probe,portsweep
272,1072,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,62,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
278,1095,0,other,REJ,0,0,0,0,0,0,511,0.05,0.0,0.95,1.0,0.0,255,1,0.0,1.0,0.04,0.0,0.96,1.0,technician,Probe,satan
286,1137,0,private,REJ,0,0,0,0,0,0,269,0.08,0.0,0.87,1.0,0.0,255,1,0.0,1.0,0.08,0.0,0.87,1.0,admin,Probe,satan
287,1140,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,79,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
289,1144,0,private,REJ,0,0,0,0,0,0,55,0.13,0.0,0.87,1.0,0.02,255,1,0.0,0.49,0.03,0.0,0.2,1.0,technician,Probe,satan
299,1165,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,106,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
300,1169,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,3,75,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,nmap
303,1174,0,private,SF,1,0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.08,255,2,0.01,0.22,0.0,0.0,0.0,0.0,admin,Probe,satan
310,1198,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,4,120,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
313,1203,0,private,REJ,0,0,0,0,0,0,120,0.01,0.0,0.94,1.0,0.01,245,1,0.0,0.52,0.0,0.0,0.47,1.0,admin,Probe,satan
316,1221,0,private,SF,1,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.6,255,9,0.04,0.78,0.1,0.0,0.64,0.0,technician,Probe,satan
328,1275,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,77,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,nmap
330,1281,2,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.67,0.0,0.0,1.0,1.0,admin,Probe,portsweep
331,1285,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,158,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
335,1302,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,58,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
337,1304,0,private,SF,215,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,185,153,0.83,0.01,0.0,0.0,0.0,0.0,admin,Probe,nmap
344,1326,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,226,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
347,1353,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,190,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
348,1357,0,link,REJ,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,68,1,0.01,1.0,0.0,0.0,0.91,1.0,technician,Probe,ipsweep
354,1370,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,3,223,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
357,1381,1,systat,RSTOS0,0,0,0,0,0,0,222,0.64,0.5,0.36,0.5,0.01,255,2,0.01,0.36,0.55,0.5,0.32,0.5,technician,Probe,portsweep
360,1388,40703,private,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.37,0.0,0.0,0.73,1.0,technician,Probe,portsweep
362,1405,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,194,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
367,1419,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,255,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
379,1446,0,other,REJ,0,0,0,0,0,0,398,0.07,0.0,0.9,1.0,0.0,255,1,0.0,1.0,0.08,0.0,0.91,1.0,admin,Probe,satan
401,1542,0,private,SF,1,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.9,255,27,0.11,0.26,0.0,0.0,0.0,0.0,superuser,Probe,satan
408,1572,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,49,1,0.02,0.08,0.12,0.0,0.02,1.0,technician,Probe,portsweep
410,1579,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,54,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
420,1619,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,33,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
423,1624,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,137,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
426,1633,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,3,51,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
428,1645,0,private,REJ,0,0,0,0,0,0,208,0.09,0.0,0.9,1.0,0.0,255,1,0.0,0.91,0.07,0.0,0.75,1.0,superuser,Probe,satan
430,1650,1,private,RSTOS0,0,0,0,0,0,0,208,0.64,0.5,0.36,0.5,0.01,255,2,0.01,0.34,0.53,0.5,0.29,0.5,superuser,Probe,portsweep
431,1659,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,53,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
434,1665,0,iso_tsap,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.4,0.0,0.0,0.4,1.0,superuser,Probe,portsweep
448,1740,0,netbios_ns,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,255,1,0.0,1.0,1.0,1.0,0.0,0.0,admin,Probe,nmap
449,1741,0,private,REJ,0,0,0,0,0,0,265,0.03,0.0,0.94,1.0,0.0,255,1,0.0,0.97,0.04,0.0,0.92,1.0,technician,Probe,satan
455,1777,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,4,24,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,nmap
460,1789,0,private,REJ,0,0,0,0,0,0,80,0.01,0.0,0.93,1.0,0.01,255,1,0.0,0.34,0.0,0.0,0.3,1.0,superuser,Probe,satan
461,1795,41111,private,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.31,0.0,0.0,0.61,1.0,admin,Probe,portsweep
462,1798,0,private,REJ,0,0,0,0,0,0,230,0.06,0.0,0.89,1.0,0.0,255,1,0.0,0.91,0.05,0.0,0.8,1.0,technician,Probe,satan
463,1801,0,finger,SF,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,60,9,0.02,1.0,0.0,0.0,0.92,0.0,admin,Probe,ipsweep
465,1808,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,10,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
467,1814,0,echo,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,133,1,0.01,0.08,0.0,0.0,0.1,1.0,superuser,Probe,portsweep
470,1825,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,3,215,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
480,1862,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,32,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
487,1887,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,129,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
489,1889,0,private,REJ,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,50,1,0.02,1.0,0.0,0.0,0.96,1.0,admin,Probe,ipsweep
490,1891,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,3,239,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
499,1931,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,66,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
523,2085,0,uucp_path,REJ,0,0,0,0,0,0,492,0.06,0.0,0.93,1.0,0.0,255,1,0.0,1.0,0.08,0.0,0.92,1.0,admin,Probe,satan
536,2136,38776,bgp,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.51,0.0,0.0,1.0,1.0,superuser,Probe,portsweep
539,2158,0,other,REJ,0,0,0,0,0,0,509,0.16,0.0,0.84,1.0,0.0,255,1,0.0,1.0,0.02,0.0,0.98,1.0,technician,Probe,satan
540,2162,3,private,RSTR,0,0,0,0,0,0,335,0.0,0.0,1.0,1.0,0.01,255,2,0.01,0.52,0.0,0.0,1.0,1.0,superuser,Probe,portsweep
546,2199,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,143,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
555,2230,0,private,SF,1,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.17,255,2,0.01,0.26,0.0,0.0,0.0,0.0,technician,Probe,satan
560,2255,1,private,RSTR,0,0,0,0,0,0,56,0.0,0.0,1.0,1.0,0.04,226,2,0.01,0.14,0.01,0.0,0.46,1.0,admin,Probe,portsweep
565,2268,0,private,REJ,0,0,0,0,0,0,509,0.05,0.0,0.94,1.0,0.0,255,1,0.0,1.0,0.06,0.0,0.92,1.0,admin,Probe,satan
566,2272,0,private,REJ,0,0,0,0,0,0,164,0.05,0.0,0.94,1.0,0.01,255,1,0.0,0.81,0.03,0.0,0.62,1.0,superuser,Probe,satan
567,2273,37688,private,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.5,0.0,0.0,1.0,1.0,superuser,Probe,portsweep
570,2280,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,69,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
576,2296,0,private,SH,0,0,0,0,0,0,2,1.0,1.0,0.0,0.0,0.5,25,2,0.08,0.72,0.68,1.0,0.0,0.0,technician,Probe,nmap
578,2303,0,private,S0,0,0,0,0,0,0,2,1.0,1.0,0.0,0.0,0.5,255,1,0.0,1.0,0.05,1.0,0.95,0.0,technician,Probe,portsweep
602,2409,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,4,108,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
604,2416,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,191,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
606,2421,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,69,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
610,2435,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,5,3,0.6,0.6,0.0,0.0,0.0,0.0,admin,Probe,nmap
618,2476,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,70,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,nmap
628,2507,0,private,SF,1,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.12,255,51,0.2,0.32,0.0,0.0,0.12,0.0,technician,Probe,satan
643,2555,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,11,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
646,2579,0,private,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,223,1,0.0,0.96,0.96,1.0,0.0,0.0,superuser,Probe,nmap
651,2587,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,33,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
654,2599,0,private,REJ,0,0,0,0,0,0,188,0.02,0.0,0.95,1.0,0.01,255,1,0.0,0.76,0.01,0.0,0.71,1.0,technician,Probe,satan
664,2636,22861,private,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.73,0.0,0.0,1.0,1.0,technician,Probe,portsweep
678,2712,0,private,REJ,0,0,0,0,0,0,176,0.02,0.0,0.95,1.0,0.01,255,1,0.0,0.72,0.01,0.0,0.67,1.0,superuser,Probe,satan
679,2713,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,97,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,nmap
684,2743,0,private,REJ,0,0,0,0,0,0,263,0.03,0.0,0.94,1.0,0.0,255,1,0.0,0.97,0.04,0.0,0.92,1.0,technician,Probe,satan
685,2751,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,174,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,nmap
692,2764,0,other,REJ,0,0,0,0,0,0,509,0.23,0.0,0.76,1.0,0.0,255,1,0.0,1.0,0.18,0.0,0.79,1.0,technician,Probe,satan
693,2766,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,222,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
697,2787,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,125,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
707,2819,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,255,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
725,2889,0,private,REJ,0,0,0,0,0,0,336,0.06,0.0,0.9,1.0,0.0,255,1,0.0,1.0,0.08,0.0,0.89,1.0,superuser,Probe,satan
726,2892,0,private,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,220,1,0.0,0.95,0.96,1.0,0.0,0.0,technician,Probe,nmap
728,2894,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,175,1,0.01,0.73,0.03,0.0,0.63,1.0,technician,Probe,portsweep
730,2901,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,30,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
738,2938,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,26,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
741,2945,0,nntp,REJ,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,255,1,0.0,0.22,0.0,0.0,0.2,1.0,technician,Probe,portsweep
743,2947,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,156,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
748,2968,0,private,SF,100,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,37,7,0.19,0.05,0.0,0.0,0.0,0.0,superuser,Probe,nmap
749,2969,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,95,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
750,2971,0,private,SF,207,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,52,44,0.85,0.04,0.0,0.0,0.0,0.0,admin,Probe,nmap
753,2978,0,private,RSTR,0,0,0,0,0,0,3,0.0,0.0,0.33,1.0,0.33,255,1,0.0,0.66,0.0,0.0,0.66,1.0,admin,Probe,portsweep
759,2997,0,private,SF,1,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.11,255,2,0.01,0.37,0.15,0.0,0.18,0.0,technician,Probe,satan
761,3009,610,other,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.73,0.0,0.0,1.0,1.0,superuser,Probe,portsweep
762,3013,0,private,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,139,1,0.01,0.93,0.94,1.0,0.0,0.0,superuser,Probe,nmap
765,3024,0,csnet_ns,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,1.0,0.0,0.0,1.0,1.0,superuser,Probe,portsweep
769,3032,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,3,207,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
770,3035,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.53,0.0,0.0,1.0,1.0,superuser,Probe,portsweep
789,3118,0,private,REJ,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,70,2,0.01,1.0,0.0,0.0,0.96,1.0,technician,Probe,ipsweep
803,3168,0,private,SF,215,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,27,27,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,nmap
812,3194,0,private,SF,215,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,143,119,0.83,0.01,0.0,0.0,0.0,0.0,admin,Probe,nmap
825,3259,0,other,REJ,0,0,0,0,0,0,511,0.15,0.0,0.85,1.0,0.0,255,1,0.0,1.0,0.1,0.0,0.9,1.0,superuser,Probe,satan
828,3280,1,smtp,SF,1710,375,0,1,0,0,2,0.0,0.0,0.0,0.0,1.0,178,125,0.34,0.39,0.0,0.0,0.31,0.0,superuser,Probe,satan
844,3358,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,3,255,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
