id1,id,duration,service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,num_compromised,num_root,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,role,AttCat,attType
28,124,0,bgp,S0,0,0,0,0,0,0,294,1.0,1.0,0.0,0.0,0.02,255,8,0.03,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
29,130,0,private,S0,0,0,0,0,0,0,190,1.0,1.0,0.0,0.0,0.11,255,20,0.08,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
30,131,0,ldap,REJ,0,0,0,0,0,0,135,0.0,0.0,1.0,1.0,0.04,255,1,0.0,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
31,134,0,private,S0,0,0,0,0,0,0,123,1.0,1.0,0.0,0.0,0.06,255,7,0.03,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
32,135,0,supdup,S0,0,0,0,0,0,0,245,1.0,1.0,0.0,0.0,0.08,255,7,0.03,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
33,142,0,netbios_dgm,REJ,0,0,0,0,0,0,250,0.0,0.0,1.0,1.0,0.01,255,2,0.01,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
36,149,0,telnet,S0,0,0,0,0,0,0,13,1.0,1.0,0.0,0.0,0.31,255,64,0.25,0.02,1.0,1.0,0.0,0.0,superuser,Dos,neptune
37,152,0,vmnet,S0,0,0,0,0,0,0,292,1.0,1.0,0.0,0.0,0.04,255,14,0.05,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
38,153,0,systat,S0,0,0,0,0,0,0,295,1.0,1.0,0.0,0.0,0.06,255,1,0.0,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
39,157,0,efs,S0,0,0,0,0,0,0,102,1.0,1.0,0.0,0.0,0.19,255,18,0.07,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
40,170,0,gopher,S0,0,0,0,0,0,0,44,1.0,1.0,0.0,0.0,0.27,255,12,0.05,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
41,172,0,ecr_i,SF,1032,0,0,0,0,0,511,0.0,0.0,0.0,0.0,1.0,255,212,0.83,0.02,0.0,0.0,0.0,0.0,technician,Dos,smurf
44,184,0,private,SF,28,0,3,0,0,0,35,0.0,0.0,0.03,0.0,0.97,255,34,0.13,0.02,0.0,0.0,0.67,0.0,superuser,Dos,teardrop
45,186,0,private,S0,0,0,0,0,0,0,108,1.0,1.0,0.0,0.0,0.17,255,18,0.07,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
46,187,0,private,S0,0,0,0,0,0,0,101,1.0,1.0,0.0,0.0,0.05,255,15,0.06,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
47,193,0,echo,S0,0,0,0,0,0,0,223,1.0,1.0,0.0,0.0,0.08,255,17,0.07,0.06,1.0,1.0,0.0,0.0,superuser,Dos,neptune
48,211,0,ecr_i,SF,1480,0,1,0,0,0,2,0.0,0.0,0.0,0.0,1.0,2,38,1.0,0.0,0.0,0.0,0.0,0.0,technician,Dos,pod
49,212,0,iso_tsap,S0,0,0,0,0,0,0,277,1.0,1.0,0.0,0.0,0.06,255,17,0.07,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
50,215,0,sunrpc,S0,0,0,0,0,0,0,141,1.0,1.0,0.0,0.0,0.09,255,16,0.06,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
53,227,0,kshell,S0,0,0,0,0,0,0,125,1.0,1.0,0.0,0.0,0.19,255,24,0.09,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
54,237,0,kshell,S0,0,0,0,0,0,0,102,1.0,1.0,0.0,0.0,0.02,255,2,0.01,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
55,242,0,vmnet,S0,0,0,0,0,0,0,281,1.0,1.0,0.0,0.0,0.01,255,3,0.01,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
56,243,0,telnet,S0,0,0,0,0,0,0,30,1.0,1.0,0.0,0.0,0.07,255,52,0.2,0.03,1.0,1.0,0.0,0.0,admin,Dos,neptune
58,255,0,ecr_i,SF,1032,0,0,0,0,0,46,0.0,0.0,0.0,0.0,1.0,255,46,0.18,0.02,0.0,0.0,0.0,0.0,technician,Dos,smurf
60,260,0,vmnet,S0,0,0,0,0,0,0,211,1.0,1.0,0.0,0.0,0.1,255,22,0.09,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
61,263,0,mtp,REJ,0,0,0,0,0,0,280,0.0,0.0,1.0,1.0,0.04,255,11,0.04,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
63,269,0,csnet_ns,S0,0,0,0,0,0,0,201,1.0,1.0,0.0,0.0,0.0,255,4,0.02,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
64,271,0,auth,REJ,0,0,0,0,0,0,276,0.0,0.0,1.0,1.0,0.05,255,14,0.05,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
65,277,0,private,S0,0,0,0,0,0,0,256,1.0,1.0,0.0,0.0,0.05,255,10,0.04,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
66,284,0,bgp,S0,0,0,0,0,0,0,138,1.0,1.0,0.0,0.0,0.18,255,25,0.1,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
67,286,0,ftp,S0,0,0,0,0,0,0,300,1.0,1.0,0.0,0.0,0.02,255,7,0.03,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
68,291,0,private,S0,0,0,0,0,0,0,144,1.0,1.0,0.0,0.0,0.1,255,30,0.12,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
69,292,0,sql_net,S0,0,0,0,0,0,0,104,1.0,1.0,0.0,0.0,0.04,255,18,0.07,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
71,299,0,private,S0,0,0,0,0,0,0,74,1.0,1.0,0.0,0.0,0.22,255,5,0.02,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
74,315,0,ecr_i,SF,1032,0,0,0,0,0,213,0.0,0.0,0.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,admin,Dos,smurf
76,319,0,private,S0,0,0,0,0,0,0,254,1.0,1.0,0.0,0.0,0.07,255,17,0.07,0.06,1.0,1.0,0.0,0.0,superuser,Dos,neptune
77,321,0,telnet,S0,0,0,0,0,0,0,295,1.0,1.0,0.0,0.0,0.02,255,7,0.03,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
79,334,0,private,S0,0,0,0,0,0,0,260,1.0,1.0,0.0,0.0,0.03,255,7,0.03,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
80,339,0,private,REJ,0,0,0,0,0,0,139,0.0,0.0,1.0,1.0,0.07,255,6,0.02,0.09,0.0,0.0,1.0,1.0,superuser,Dos,neptune
81,344,0,bgp,S0,0,0,0,0,0,0,211,1.0,1.0,0.0,0.0,0.08,255,12,0.05,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
82,346,0,private,S0,0,0,0,0,0,0,208,1.0,1.0,0.0,0.0,0.01,255,5,0.02,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
83,348,0,discard,S0,0,0,0,0,0,0,268,1.0,1.0,0.0,0.0,0.07,255,19,0.07,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
86,356,0,http,S0,0,0,0,0,0,0,272,1.0,0.43,0.0,0.0,0.05,255,13,0.05,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
88,366,0,http,SF,54540,8314,0,1,1,0,1,0.0,0.0,0.0,0.0,1.0,251,251,1.0,0.0,0.0,0.0,0.02,0.02,admin,Dos,back
89,373,0,nntp,S0,0,0,0,0,0,0,196,1.0,1.0,0.0,0.0,0.06,255,12,0.05,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
90,375,0,courier,S0,0,0,0,0,0,0,111,1.0,1.0,0.0,0.0,0.05,255,6,0.02,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
91,379,0,private,S0,0,0,0,0,0,0,168,1.0,1.0,0.0,0.0,0.02,255,3,0.01,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
92,383,0,private,S0,0,0,0,0,0,0,36,1.0,1.0,0.0,0.0,0.33,255,12,0.05,0.1,1.0,1.0,0.0,0.0,admin,Dos,neptune
93,384,0,private,S0,0,0,0,0,0,0,143,1.0,1.0,0.0,0.0,0.13,255,4,0.02,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
94,392,0,ftp,S0,0,0,0,0,0,0,222,1.0,1.0,0.0,0.0,0.0,255,1,0.0,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
95,394,0,private,S0,0,0,0,0,0,0,237,1.0,1.0,0.0,0.0,0.06,255,1,0.0,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
96,395,0,private,S0,0,0,0,0,0,0,132,1.0,1.0,0.0,0.0,0.11,255,16,0.06,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
99,408,0,private,S0,0,0,0,0,0,0,257,1.0,1.0,0.0,0.0,0.07,255,2,0.01,0.09,1.0,1.0,0.0,0.0,superuser,Dos,neptune
100,409,0,telnet,S0,0,0,0,0,0,0,13,1.0,1.0,0.0,0.0,1.0,135,75,0.56,0.01,0.99,0.97,0.0,0.0,superuser,Dos,neptune
101,414,0,login,S0,0,0,0,0,0,0,132,1.0,1.0,0.0,0.0,0.02,255,14,0.05,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
102,417,0,Z39_50,S0,0,0,0,0,0,0,290,1.0,1.0,0.0,0.0,0.06,255,11,0.04,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
103,418,0,private,S0,0,0,0,0,0,0,203,1.0,1.0,0.0,0.0,0.01,255,9,0.04,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
105,426,0,ecr_i,SF,1032,0,0,0,0,0,486,0.0,0.0,0.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,technician,Dos,smurf
106,432,0,ftp_data,S0,0,0,0,0,0,0,47,1.0,1.0,0.0,0.0,0.09,255,64,0.25,0.02,1.0,1.0,0.0,0.0,admin,Dos,neptune
107,442,0,whois,S0,0,0,0,0,0,0,200,1.0,1.0,0.0,0.0,0.03,255,6,0.02,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
108,443,0,ctf,S0,0,0,0,0,0,0,140,1.0,1.0,0.0,0.0,0.01,255,1,0.0,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
109,446,0,ecr_i,SF,1032,0,0,0,0,0,511,0.0,0.0,0.0,0.0,1.0,255,200,0.78,0.01,0.0,0.0,0.0,0.0,technician,Dos,smurf
110,453,0,private,S0,0,0,0,0,0,0,35,1.0,1.0,0.0,0.0,0.46,255,16,0.06,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
111,454,0,csnet_ns,S0,0,0,0,0,0,0,275,1.0,1.0,0.0,0.0,0.05,255,15,0.06,0.09,1.0,1.0,0.0,0.0,admin,Dos,neptune
112,459,0,private,S0,0,0,0,0,0,0,252,1.0,1.0,0.0,0.0,0.06,255,13,0.05,0.09,1.0,1.0,0.0,0.0,admin,Dos,neptune
113,462,0,telnet,S0,0,0,0,0,0,0,74,1.0,1.0,0.0,0.0,0.23,255,58,0.23,0.02,1.0,1.0,0.0,0.0,superuser,Dos,neptune
114,467,0,vmnet,S0,0,0,0,0,0,0,197,1.0,1.0,0.0,0.0,0.01,255,2,0.01,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
115,470,0,private,S0,0,0,0,0,0,0,198,1.0,1.0,0.0,0.0,0.02,255,4,0.02,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
116,472,0,private,REJ,0,0,0,0,0,0,102,0.0,0.0,1.0,1.0,0.03,255,1,0.0,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
117,482,0,time,S0,0,0,0,0,0,0,262,1.0,1.0,0.0,0.0,0.02,255,4,0.02,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
118,488,0,domain,S0,0,0,0,0,0,0,253,1.0,1.0,0.0,0.0,0.0,255,1,0.0,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
119,490,0,private,S0,0,0,0,0,0,0,142,1.0,1.0,0.0,0.0,0.11,255,8,0.03,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
120,495,0,login,S0,0,0,0,0,0,0,139,1.0,1.0,0.0,0.0,0.14,255,20,0.08,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
121,502,0,private,S0,0,0,0,0,0,0,196,1.0,1.0,0.0,0.0,0.05,255,20,0.08,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
124,520,0,mtp,S0,0,0,0,0,0,0,221,1.0,1.0,0.0,0.0,0.07,255,17,0.07,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
125,522,0,finger,S0,0,0,0,0,0,0,33,1.0,1.0,0.0,0.0,0.42,255,14,0.05,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
126,526,0,uucp_path,S0,0,0,0,0,0,0,221,1.0,1.0,0.0,0.0,0.06,255,14,0.05,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
128,529,0,Z39_50,REJ,0,0,0,0,0,0,284,0.0,0.0,1.0,1.0,0.05,255,14,0.05,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
130,531,0,telnet,S0,0,0,0,0,0,0,150,1.0,1.0,0.0,0.0,0.11,255,1,0.0,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
131,532,0,imap4,S0,0,0,0,0,0,0,255,1.0,1.0,0.0,0.0,0.04,255,9,0.04,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
132,534,0,private,S0,0,0,0,0,0,0,26,1.0,1.0,0.0,0.0,0.08,255,12,0.05,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
133,536,0,finger,S0,0,0,0,0,0,0,74,1.0,1.0,0.0,0.0,0.27,255,58,0.23,0.04,1.0,1.0,0.0,0.0,superuser,Dos,neptune
134,538,0,smtp,S0,0,0,0,0,0,0,7,1.0,0.78,0.0,0.0,1.0,29,141,0.24,0.07,0.93,0.05,0.0,0.0,technician,Dos,neptune
135,547,0,ldap,S0,0,0,0,0,0,0,124,1.0,1.0,0.0,0.0,0.02,255,2,0.01,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
136,549,0,finger,S0,0,0,0,0,0,0,34,1.0,1.0,0.0,0.0,0.44,255,15,0.06,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
137,553,0,Z39_50,S0,0,0,0,0,0,0,16,1.0,1.0,0.0,0.0,0.19,255,9,0.04,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
138,558,0,private,REJ,0,0,0,0,0,0,130,0.0,0.0,1.0,1.0,0.08,255,7,0.03,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
139,561,0,time,RSTO,0,0,0,0,0,0,280,0.0,0.0,1.0,1.0,0.06,255,16,0.06,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
140,564,0,private,S0,0,0,0,0,0,0,268,1.0,1.0,0.0,0.0,0.01,255,2,0.01,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
141,565,0,private,S0,0,0,0,0,0,0,84,1.0,1.0,0.0,0.0,0.21,255,18,0.07,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
143,573,0,ftp,S0,0,0,0,0,0,0,265,1.0,1.0,0.0,0.0,0.02,255,17,0.07,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
144,577,0,private,S0,0,0,0,0,0,0,54,1.0,1.0,0.0,0.0,0.31,255,17,0.07,0.05,1.0,1.0,0.0,0.0,superuser,Dos,neptune
146,597,0,shell,S0,0,0,0,0,0,0,129,1.0,1.0,0.0,0.0,0.17,255,22,0.09,0.05,1.0,1.0,0.0,0.0,superuser,Dos,neptune
147,599,0,private,S0,0,0,0,0,0,0,118,1.0,1.0,0.0,0.0,0.08,255,17,0.07,0.06,1.0,1.0,0.0,0.0,superuser,Dos,neptune
148,602,0,private,S0,0,0,0,0,0,0,115,1.0,1.0,0.0,0.0,0.03,255,18,0.07,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
150,606,0,private,S0,0,0,0,0,0,0,111,1.0,1.0,0.0,0.0,0.09,155,11,0.07,0.1,1.0,1.0,0.0,0.0,technician,Dos,neptune
151,611,0,systat,REJ,0,0,0,0,0,0,242,0.0,0.0,1.0,1.0,0.0,255,1,0.0,0.08,0.0,0.0,1.0,1.0,superuser,Dos,neptune
152,615,0,supdup,S0,0,0,0,0,0,0,101,1.0,1.0,0.0,0.0,0.06,255,6,0.02,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
154,619,0,http,SF,54540,8314,0,1,1,0,3,0.0,0.0,0.0,0.0,1.0,214,214,1.0,0.0,0.0,0.0,0.01,0.01,technician,Dos,back
156,625,0,kshell,S0,0,0,0,0,0,0,136,1.0,1.0,0.0,0.0,0.17,255,23,0.09,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
157,626,0,hostnames,S0,0,0,0,0,0,0,272,1.0,1.0,0.0,0.0,0.01,255,4,0.02,0.05,1.0,1.0,0.0,0.0,superuser,Dos,neptune
158,629,0,uucp,RSTO,0,0,0,0,0,0,110,0.0,0.0,1.0,1.0,0.15,255,16,0.06,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
159,634,0,echo,S0,0,0,0,0,0,0,268,1.0,1.0,0.0,0.0,0.02,255,5,0.02,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
160,638,0,domain,S0,0,0,0,0,0,0,292,1.0,1.0,0.0,0.0,0.05,255,11,0.04,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
161,640,0,klogin,S0,0,0,0,0,0,0,2,1.0,1.0,0.0,0.0,1.0,255,2,0.01,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
164,665,0,private,S0,0,0,0,0,0,0,234,1.0,1.0,0.0,0.0,0.0,255,16,0.06,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
165,667,0,iso_tsap,REJ,0,0,0,0,0,0,244,0.0,0.0,1.0,1.0,0.07,255,17,0.07,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
166,673,0,ldap,REJ,0,0,0,0,0,0,287,0.0,0.0,1.0,1.0,0.05,255,15,0.06,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
167,678,0,telnet,S0,0,0,0,0,0,0,11,1.0,1.0,0.0,0.0,1.0,133,73,0.55,0.02,0.98,0.97,0.0,0.0,admin,Dos,neptune
168,687,0,auth,S0,0,0,0,0,0,0,240,1.0,1.0,0.0,0.0,0.03,255,6,0.02,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
170,693,0,nntp,S0,0,0,0,0,0,0,92,1.0,1.0,0.0,0.0,0.03,255,14,0.05,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
171,703,0,private,S0,0,0,0,0,0,0,12,1.0,1.0,0.0,0.0,0.42,255,5,0.02,0.1,1.0,1.0,0.0,0.0,admin,Dos,neptune
172,705,0,private,SF,28,0,3,0,0,0,99,0.0,0.0,0.0,0.0,1.0,255,66,0.26,0.01,0.0,0.0,0.0,0.0,technician,Dos,teardrop
173,708,0,private,S0,0,0,0,0,0,0,226,1.0,1.0,0.0,0.0,0.07,255,16,0.06,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
174,710,0,private,REJ,0,0,0,0,0,0,122,0.0,0.0,1.0,1.0,0.06,255,27,0.11,0.06,0.0,0.0,1.0,1.0,admin,Dos,neptune
175,712,0,private,S0,0,0,0,0,0,0,237,1.0,1.0,0.0,0.0,0.03,255,20,0.08,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
176,715,0,private,S0,0,0,0,0,0,0,148,1.0,1.0,0.0,0.0,0.13,255,37,0.15,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
178,733,0,private,REJ,0,0,0,0,0,0,264,0.0,0.0,1.0,1.0,0.08,255,20,0.08,0.06,0.0,0.0,1.0,1.0,admin,Dos,neptune
179,737,0,private,S0,0,0,0,0,0,0,254,1.0,1.0,0.0,0.0,0.09,58,22,0.38,0.1,0.97,1.0,0.0,0.0,admin,Dos,neptune
180,740,0,ecr_i,SF,1032,0,0,0,0,0,511,0.0,0.0,0.0,0.0,1.0,255,118,0.46,0.01,0.0,0.0,0.0,0.0,superuser,Dos,smurf
181,742,0,vmnet,S0,0,0,0,0,0,0,232,1.0,1.0,0.0,0.0,0.06,255,15,0.06,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
182,751,0,name,S0,0,0,0,0,0,0,263,1.0,1.0,0.0,0.0,0.01,255,3,0.01,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
183,753,0,whois,S0,0,0,0,0,0,0,127,1.0,1.0,0.0,0.0,0.09,255,12,0.05,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
184,754,0,netbios_dgm,S0,0,0,0,0,0,0,194,1.0,1.0,0.0,0.0,0.09,255,18,0.07,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
185,755,0,http,SF,54540,8314,0,1,1,0,2,0.0,0.0,0.0,0.0,1.0,118,118,1.0,0.0,0.0,0.0,0.02,0.02,admin,Dos,back
187,758,0,private,SF,28,0,3,0,0,0,27,0.0,0.0,0.0,0.0,1.0,255,27,0.11,0.02,0.0,0.0,0.0,0.0,admin,Dos,teardrop
189,760,0,ftp_data,S0,0,0,0,0,0,0,25,1.0,1.0,0.0,0.0,0.2,27,51,0.19,0.11,0.93,0.1,0.0,0.0,admin,Dos,neptune
190,761,0,ssh,S0,0,0,0,0,0,0,100,1.0,1.0,0.0,0.0,0.07,255,7,0.03,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
191,763,0,iso_tsap,REJ,0,0,0,0,0,0,240,0.0,0.0,1.0,1.0,0.04,255,10,0.04,0.07,0.0,0.0,1.0,1.0,technician,Dos,neptune
192,766,0,ftp,RSTO,0,0,0,0,0,0,282,0.0,0.0,1.0,1.0,0.07,255,19,0.07,0.06,0.0,0.0,1.0,1.0,admin,Dos,neptune
194,770,0,discard,S0,0,0,0,0,0,0,244,1.0,1.0,0.0,0.0,0.02,255,5,0.02,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
195,771,0,auth,S0,0,0,0,0,0,0,279,1.0,1.0,0.0,0.0,0.04,255,11,0.04,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
198,787,0,ecr_i,SF,1032,0,0,0,0,0,322,0.0,0.0,0.0,0.0,1.0,255,219,0.86,0.01,0.0,0.0,0.0,0.0,technician,Dos,smurf
